title,DOI,year,screening-phase,decision,exclusion_reason,other_comments,source_database,duplicate_info,authors,abstract,url,venue
Cooperative task assignment of heterogeneous unmanned aerial vehicles for simultaneous multi-directional attack on a moving target,10.1016/j.engappai.2024.109595,2025,a,x,X1,,ACM,,"Shahid, Sami; Zhen, Ziyang; Javaid, Umair",,https://doi.org/10.1016/j.engappai.2024.109595,Eng. Appl. Artif. Intell.
Gyro: A Digital Spiking Neural Network Architecture for Multi-Sensory Data Analytics,10.1145/3444950.3444951,2021,a,x,X1,,ACM,,"Corradi, Federico; Adriaans, Guido; Stuijk, Sander","Unmanned Aerial Vehicles (UAVs) that interact with the physical world in real-time make use of a multitude of sensors and often execute deep neural network workloads for perceiving the state of the environment. To increase UAV’s operations, it is required to execute these workloads in the most power-efficient manner. Spiking Neural Networks (SNNs) have been proposed as an alternative solution for the execution of deep neural networks in an energy-efficient way. We introduce Gyro, a digital event-driven architecture capable of executing spiking neural networks. The architecture is tailored towards sensory fusion applications and it is optimized for Field-Programmable Gate Arrays (FPGAs). In hardware, we demonstrate the performance of a sensory fusion task using a public dataset of bi-temporal optical-radar data for pixel-wise crop classification. We achieve an accuracy of 99,7%, a peak throughput of 31,82 Giga Synaptic Operations per Second (GSOPS) while consuming 50 pico Joule / Synaptic Operation (pJ/SO).",https://doi.org/10.1145/3444950.3444951,Proceedings of the 2021 Drone Systems Engineering and Rapid Simulation and Performance Evaluation: Methods and Tools Proceedings
ST-FlowNet: An efficient Spiking Neural Network for event-based optical flow estimation,10.1016/j.neunet.2025.107730,2025,f,x,X4,optical flow prediction,ACM,,"Sun, Hongze; Wang, Jun; Cai, Wuque; Chen, Duo; Liao, Qianqian; He, Jiayi; Cui, Yan; Yao, Dezhong; Guo, Daqing",,https://doi.org/10.1016/j.neunet.2025.107730,Neural Netw.
Development of a Self-Regulating Evolving Spiking Neural Network for classification problem,10.1016/j.neucom.2015.07.086,2016,a,x,X4,medical images classification,ACM,,"Dora, S.; Subramanian, K.; Suresh, S.; Sundararajan, N.","This paper presents a new spiking neural network for pattern classification problems, referred to as the Self-Regulating Evolving Spiking Neural (SRESN) classifier, that regulates the learning process of the network. It uses a two layered spiking neural network and the input layer consists of receptive field neurons, which convert a real valued input to spikes using the population coding scheme without any delays. The output layer consists of leaky integrate-and-fire neurons. Since SRESN does not use any delays, the number of network parameters for SRESN is significantly lower than that used by other spiking neural networks, used in this study. During training, the learning algorithm for SRESN, automatically evolves neurons in the output layer based on the training data stream and the current knowledge stored in the network. Depending on the knowledge in the sample and the class specific knowledge stored in the network, it can choose to either add a neuron or update the network parameters or skip learning the sample resulting in self-regulation of the learning process. In case of neuron addition, the weights for the newly added neuron are initialized using a modified rank order scheme which facilitates SRESN for use in online/sequential as well as batch learning modes. The parameter update strategy in SRESN ensures that connections with non-zero postsynaptic potential at the time of the spike are alone updated which helps prevent over training. While evaluating the performance of SRESN, first a study is conducted to assess the impact of various parameters on its performance and establish guidelines to choose suitable values for these parameters. Next, the performance of SRESN, operating in batch mode, is compared with other spiking neural classifiers, including SpikeProp and MuSpiNN, for the UCI benchmark problems of Iris flower classification and Wisconsin breast cancer. Subsequently, the performance of SRESN in online and batch learning mode is compared with an evolving spiking neural classifier for five benchmark data sets from the UCI machine learning repository. Finally, SRESN is applied to solve the practical problem of Epilepsy detection. The performance comparison clearly indicates that SRESN provides a higher generalization accuracy using fewer network parameters.",https://doi.org/10.1016/j.neucom.2015.07.086,Neurocomput.
DCSNN: An Efficient and High-speed sEMG-based Transient-state Micro-gesture Recognition Method on Wearable Devices,10.1145/3729494,2025,f,x,X1,Section 5.2: application drone operation,ACM,,"Han, Youfang; Zhao, Wei; Gao, Ge; Chen, Xiangjin; Yin, Jiliang; Wang, Lin; Meng, Xin; Yu, Yang; Zhang, Tengxiang","Micro-gesture recognition using wearable devices is an important research topic in human-computer interaction. Surface electromyography (sEMG) is widely researched for gesture recognition due to its ability to capture muscle signals that precede actual gestures. Most existing methods are based on artificial neural networks (ANN), which may lead to high latency, high power consumption, and high memory usage when deployed on wearable devices. We propose a deep compressed spiking neural network (DCSNN) to address the challenges. The DCSNN can significantly reduce the inference power consumption and memory usage while improving recognition accuracy. In addition, we designed a linear method of action detection called leaky integrate-and-fire for transient-state action detection (TAD-LIF), which can improve the robustness of recognition systems effectively. To evaluate our method, we developed two lightweight sEMG wristbands respectively for two interaction modes, and collected two datasets from about 40 subjects. The experiment results show that DCSNN had a higher recognition accuracy than existing methods with values of 88.55% and 95.76% on the two datasets. In addition, its inference latency, power consumption, and memory usage are only about 0.4%, 0.05%, and 2% of those of popular convolutional neural network (CNN) methods. Our method enables precise, high-speed, and low-power micro-gesture recognition on a plethora of resource-constrained consumer-level intelligent wearable devices.",https://doi.org/10.1145/3729494,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.
3TFL-XLnet-CP: A Novel Transformer-Based Crop Yield Prediction Framework with Weighted Loss Based 3-Tier Feature Learning Model,10.1007/s42979-025-03778-9,2025,t,x,X4,,ACM,"Count: 2 | Sources: ACM, Springer Link","Anoop, G. L.; Nandini, C.; Naresh, E.","The advancement of crop yield prediction through artificial intelligence (AI) has gained significant attention. However, the existing AI-based approaches for maximizing agricultural productivity, specifically in crop yield prediction, have not consistently delivered satisfactory results. In response to this challenge, we propose a novel framework named as Three Tier Feature Learning with XLnet based Crop Prediction (3TFL-XLnet-CP) that enhances agricultural productivity by accurately predicting crop yield. The 3TFL-XLnet-CP framework employs a three-tier feature learning approach in combination with the powerful XLnet transformer-based crop prediction model. The three-tier feature learning involves the integration of Spiking Neural Network (SNN), Graphical Neural Network (GNN), and Convolutional Neural Network (CNN) to extract distinct feature vectors from the preprocessed data. These feature vectors are then concatenated using Jaccard Similarity to measure their similarity score. Additionally, a weighted Loss function is introduced to optimize feature learning, further enhanced by a novel self-adaptive Spider Monkey Optimization algorithm (SASMO). The concatenated features are subsequently fed into the classification layer for making precise crop yield predictions. The proposed model is implemented using the Python platform and evaluated against existing models such as ANN, RNN, DNN, and BiLSTM. The comparison demonstrates the superiority of our proposed 3TFL-XLnet-CP framework in accurately predicting crop yield.",https://doi.org/10.1007/s42979-025-03778-9,SN Comput. Sci.
Disaster management with efficient user allocation using quantum-inspired cuckoo search and UAV-edge computing,10.1007/s10586-025-05453-3,2025,a,x,X1,,ACM,,"Reddy, Thandava Purandeswar; Teja, Gokarakonda Nikhil Sri Sai; Dayanand, Bhukya; Goud, A. Swamy; Balaji, Banavath Naik; Bhaumik, Gopa; Das, Bhabani Shankar","Efficient allocation of Internet of Things (IoT) devices and timely real-time data processing in disaster-affected areas pose significant challenges due to energy constraints, limited infrastructure, and the urgent need for rapid response. Unmanned Aerial Vehicles (UAVs), when integrated with Edge Computing (EC), offer a promising solution for collecting and processing data. In this paper, we propose a novel hashing-based quantum-inspired cuckoo search optimization (QICSO) algorithm to address key challenges in disaster management, including user allocation, processor allocation, energy consumption, and time delay factors. The QICSO algorithm is designed to optimize resource utilization by addressing key objectives such as minimizing energy consumption, reducing data processing delays, and improving the allocation rates of users and processors. A novel fitness function is formulated by considering these factors to ensure efficient disaster response. A novel representation of the quantum cuckoo and qubit has been developed, where quantum cuckoos are encoded and decoded using a novel hashing technique. The fitness function incorporates four objectives: user allocation rate, processor allocation rate, energy consumption, and delay. The proposed approach is simulated across multiple scenarios against the latest existing algorithms. Results demonstrate that the proposed algorithm significantly outperforms the compared methods. Additionally, statistical analyses, including analysis of variance (ANOVA) and the Friedman test, have been conducted. The Taguchi parametric statistical technique is employed to further evaluate performance. The simulation results indicate that QICSO surpassed existing approaches in terms of energy consumption by 18.3% and delay by 3.5%.",https://doi.org/10.1007/s10586-025-05453-3,Cluster Computing
S4-KD: A single step spiking SiamFC+ + for object tracking with knowledge distillation,10.1016/j.neunet.2025.107478,2025,f,x,X4,only tracking without target identification,ACM,,"Liu, Wenzhuo; Xiang, Shuiying; Zhang, Tao; Han, Yanan; Zhang, Yahui; Guo, Xingxing; Yu, Licun; Hao, Yue",,https://doi.org/10.1016/j.neunet.2025.107478,Neural Netw.
A Virtual Fence for Drones: Efficiently Detecting Propeller Blades with a DVXplorer Event Camera,10.1145/3546790.3546800,2022,f,x,X2,"MLP, no SNN, but neuromorphic camera",ACM,,"Stewart, Terrence; Drouin, Marc-Antoine; Picard, Michel; Djupkep Dizeu, Frank Billy; Orth, Anthony; Gagné, Guillaume","In previous work, we prototyped a portable drone detection system using a DAVIS 346 event camera and a Raspberry Pi 4, running in 5.14 W. Here, we expand on this work by switching to the higher-resolution DVXplorer and by including a small neural network classifier system. The resulting system improves the range at which drones can be recognized (from 9m to 19m). We also demonstrate our novel in-lab test system, capable of generating controlled training data across a wide variety of lighting and optical conditions. The new 100-neuron classification system runs at 100Hz with an accuracy of 98% on our field test and 96% on the in-lab test suite.",https://doi.org/10.1145/3546790.3546800,Proceedings of the International Conference on Neuromorphic Systems 2022
Edge-Cloud collaborative spatial perception and positioning system,10.1145/3773365.3773621,2025,f,x,X4,spatial perception for navigation,ACM,,"Wu, Sheng; Yang, Chunshan; Qin, Haodong; Wang, Shuaishuai; Xu, Qiyu; Cai, Yansong","Spatial perception and positioning technology significantly enhances users' perceptual experience of the real world by integrating virtual information with the physical environment. This technology has been widely applied across multiple industries, including warehousing, chemical engineering, education, and gaming. However, to foster the further development of spatial perception and positioning-related applications, a reasonable framework design is crucial. This paper proposes a spatial perception and positioning scheme for large-space fast-motion scenarios, which covers functional modules such as front-end rendering SDK, back-end positioning services, and cloud data processing. Additionally, the scheme introduces event cameras and spiking neural networks (SNN) to improve visual odometry calculation, loop closure detection, and other aspects, thereby enhancing system efficiency.",https://doi.org/10.1145/3773365.3773621,Proceedings of the 2025 8th International Conference on Computer Information Science and Artificial Intelligence
